name,id,Cmp,Att,Yds,TD,Int,Sk,Fmb,team_win,start_win,Cmp.,Y.A,TD_pct,Int_pct,game_count,start_count,win_count,win_percent,y
A.J. Feeley,FeelA.00,18.5,32.75,207.5,1.125,1.375,1.75,0.0,0.625,0.5,0.5648854961832062,6.33587786259542,0.03435114503816794,0.04198473282442748,23,18,11,0.4782608695652174,0
Aaron Brooks,BrooAa00,21.75,38.375,278.0,1.625,1.0,2.625,0.0,0.625,0.625,0.5667752442996743,7.244299674267101,0.04234527687296417,0.026058631921824105,92,91,39,0.42391304347826086,1
Aaron Rodgers,RodgAa00,19.25,30.75,222.5,1.5,0.625,2.75,0.625,0.375,0.375,0.6260162601626016,7.235772357723577,0.04878048780487805,0.02032520325203252,167,164,106,0.6347305389221557,1
Adrian Burk,BurkAd00,7.25,18.375,129.875,1.125,2.125,0.0,0.0,0.125,0.125,0.3945578231292517,7.068027210884353,0.061224489795918366,0.11564625850340136,51,39,18,0.35294117647058826,0
Akili Smith,SmitAk00,16.5,34.125,175.625,0.5,1.25,4.25,0.0,0.125,0.125,0.4835164835164835,5.146520146520147,0.014652014652014652,0.03663003663003663,16,14,2,0.125,0
Al Dorow,DoroAl00,10.25,20.375,142.0,1.0,1.75,0.0,0.0,0.625,0.5,0.5030674846625767,6.969325153374233,0.049079754601226995,0.08588957055214724,43,37,19,0.4418604651162791,0
Alex Smith,SmitAl03,14.0,27.0,170.25,0.375,1.375,3.5,0.0,0.375,0.375,0.5185185185185185,6.305555555555555,0.013888888888888888,0.05092592592592592,166,164,95,0.572289156626506,1
Andrew Luck,LuckAn00,26.0,45.25,328.875,1.25,1.125,2.625,0.875,0.75,0.75,0.574585635359116,7.267955801104972,0.027624309392265192,0.024861878453038673,84,84,49,0.5833333333333334,1
Andy Dalton,DaltAn00,21.625,35.875,233.25,1.75,1.125,1.5,0.125,0.75,0.75,0.6027874564459931,6.501742160278746,0.04878048780487805,0.0313588850174216,120,120,68,0.5666666666666667,1
Archie Manning,MannAr00,13.0,26.875,166.875,1.0,0.875,0.0,0.0,0.25,0.25,0.48372093023255813,6.209302325581396,0.037209302325581395,0.03255813953488372,131,125,32,0.24427480916030533,1
Austin Davis,DaviAu00,22.5,35.5,250.125,1.5,1.125,3.625,0.625,0.375,0.375,0.6338028169014085,7.045774647887324,0.04225352112676056,0.03169014084507042,11,10,3,0.2727272727272727,0
Babe Parilli,PariBa00,8.625,19.75,163.25,1.375,2.0,0.0,0.0,0.625,0.25,0.43670886075949367,8.265822784810126,0.06962025316455696,0.10126582278481013,133,99,60,0.45112781954887216,1
Bart Starr+,StarBa00,11.75,23.5,154.0,0.75,1.0,0.0,0.0,0.25,0.25,0.5,6.553191489361702,0.031914893617021274,0.0425531914893617,149,145,95,0.6375838926174496,1
Ben Roethlisberger,RoetBe00,16.5,24.0,198.5,1.5,0.75,2.25,0.0,1.0,1.0,0.6875,8.270833333333334,0.0625,0.03125,229,227,154,0.6724890829694323,1
Bernie Kosar,KosaBe00,12.375,24.5,162.375,0.625,0.75,2.0,0.0,0.5,0.375,0.5051020408163265,6.627551020408164,0.025510204081632654,0.030612244897959183,116,112,57,0.49137931034482757,1
Bert Jones,JoneBe00,8.75,20.125,108.5,0.75,2.0,0.0,0.0,0.125,0.125,0.43478260869565216,5.391304347826087,0.037267080745341616,0.09937888198757763,100,96,46,0.46,1
Bill Kenney,KennBi00,15.625,28.625,227.5,1.25,1.375,1.0,0.0,0.75,0.75,0.5458515283842795,7.9475982532751095,0.043668122270742356,0.048034934497816595,81,76,36,0.4444444444444444,1
